,Candidato,Publicidade por materiais impressos,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,Publicidade por jornais e revistas,Diversas a especificar,Publicidade por adesivos,Correspondências e despesas postais,Locação/cessão de bens imóveis,Doações financeiras a outros candidatos/partidos,Criação e inclusão de páginas na internet,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Taxa de Administração de Financiamento Coletivo,Despesas com pessoal,Serviços próprios prestados por terceiros,Atividades de militância e mobilização de rua,Alimentação,Cessão ou locação de veículos,Materiais de expediente,"Produção de programas de rádio, televisão ou vídeo",Combustíveis e lubrificantes,Eventos de promoção da candidatura,"Produção de jingles, vinhetas e slogans",Locação/cessão de bens móveis (exceto veículos),"Impostos, contribuições e taxas",Telefone,Publicidade por carros de som,Despesas com Hospedagem,Água,Energia elétrica,Pesquisas ou testes eleitorais,Despesas com transporte ou deslocamento,Passagem Aérea,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Reembolsos de gastos realizados por eleitores,Encargos sociais,Comícios,Multas eleitorais,Gasto_Candidato,Votos recebidos,NM_PARTIDO,DS_CARGO,NR_CANDIDATO,Recursos próprios,Recursos de pessoas físicas,Recursos de partido político,Recursos de Financiamento Coletivo,Recursos de outros candidatos,Rendimentos de aplicações financeiras,Doações pela Internet,Recursos de origens não identificadas,Comercialização de bens ou realização de eventos,TotalReceita_Candidato
32,ELIANA SABÁ,0.0,3632.0,0.0,0.0,17.05,2500.0,35.2,0.0,0.0,16316.16,58.35,16.75,23408.48,0.0,0.0,1407.37,0.0,216.76,0.0,1719.28,0.0,0.0,0.0,0.0,0.0,0.0,278.25,0.0,0.0,0.0,575.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50180.85,346.0,Partido Republicano Brasileiro,Deputado Federal,17051.0,0.0,0.0,8474.57,0.0,0.0,0.0,0.0,0.0,0.0,8474.57
33,EDILUZA MARIA DA SILVA DOS SANTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,673.0,Partido Republicano Brasileiro,Deputado Federal,13131.0,0.0,138730.06,97746.23,1480.0,30000.0,0.0,0.0,0.0,0.0,267956.29000000004
34,AFFONSO SALATI FILHO,5848.0,0.0,0.0,1860.0,0.0,698.0,0.0,0.0,0.0,0.0,30.450000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9936.45,2299.0,Partido Republicano Brasileiro,Deputado Federal,40888.0,3000.0,235951.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238951.45
35,MICHEL DE LIMA CHAUSSE,10490.0,4350.0,0.0,0.0,0.0,5010.0,0.0,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19926.6,1605.0,Partido Republicano Brasileiro,Deputado Federal,5154.0,265.0,0.0,1095.5,50.0,0.0,0.0,0.0,0.0,0.0,1410.5
36,WANDEMBERG MARQUES DA SILVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.35,0.0,14791.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14848.7,1780.0,Partido Republicano Brasileiro,Deputado Federal,1756.0,15637.52,34340.01,8474.57,750.0,1113.0,0.0,0.0,0.0,0.0,60315.1
37,EDSON COQUEIRO FILHO,8430.0,5000.0,1100.0,3000.0,377.8,0.0,48.5,4000.0,0.0,4200.0,208.85,0.0,78898.0,0.0,0.0,5486.280000000001,21875.22,240.82999999999998,0.0,5531.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138397.15999999997,2312.0,Partido Republicano Brasileiro,Deputado Federal,13688.0,513.2,1000.0,15000.0,0.0,31600.0,0.0,0.0,0.0,0.0,48113.2
38,VAGNER CLEBER CHIAPETTI,29530.1,35700.0,0.0,870.0,0.0,150.0,0.0,0.0,0.0,0.0,560.1,0.0,113243.94,0.0,0.0,2382.3599999999997,2450.0,0.0,1200.0,9963.5,0.0,2200.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203250.0,10803.0,Partido Republicano Brasileiro,Deputado Federal,13114.0,134445.89,32250.0,58796.23,75.0,186906.54,0.0,0.0,0.0,0.0,412473.66
39,MARCOS ANTONIO PEREIRA,48235.0,0.0,0.0,23898.0,0.0,8155.0,2868.24,0.0,0.0,0.0,6082.6,0.0,1442809.83,0.0,0.0,46258.5,91188.52,1277.3,24324.32,63188.79,0.0,5000.0,600.0,0.0,0.0,0.0,3113.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767000.0000000002,121234.0,Partido Republicano Brasileiro,Deputado Federal,51222.0,48818.31,3000.0,41652.7,0.0,0.0,0.0,0.0,0.0,0.0,93471.01
40,ALEXANDRE ARAUJO DAUAGE,10705.0,21491.18,3000.0,3000.0,0.0,9464.0,0.0,3950.0,0.0,0.0,190.7,0.0,0.0,0.0,0.0,2155.0,0.0,0.0,0.0,2268.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56224.0,9768.0,Partido Republicano Brasileiro,Deputado Federal,5105.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0
41,ALEX FERNANDO BRAGA,4550.0,3962.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10494.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,232.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.78,0.0,0.0,22493.46,4539.0,Partido Republicano Brasileiro,Deputado Federal,4336.0,5000.0,266353.02,100000.0,12069.0,0.0,0.0,0.0,0.0,0.0,383422.02
