,Candidato,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Eventos de promoção da candidatura,Publicidade por materiais impressos,Doações financeiras a outros candidatos/partidos,Combustíveis e lubrificantes,Criação e inclusão de páginas na internet,Taxa de Administração de Financiamento Coletivo,Despesas com Hospedagem,Despesas com transporte ou deslocamento,Despesas com pessoal,"Produção de programas de rádio, televisão ou vídeo",Publicidade por jornais e revistas,Publicidade por adesivos,"Produção de jingles, vinhetas e slogans",Atividades de militância e mobilização de rua,Serviços próprios prestados por terceiros,Locação/cessão de bens móveis (exceto veículos),Diversas a especificar,Locação/cessão de bens imóveis,Publicidade por carros de som,"Impostos, contribuições e taxas",Cessão ou locação de veículos,Materiais de expediente,Alimentação,Correspondências e despesas postais,Água,Energia elétrica,Comícios,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Pesquisas ou testes eleitorais,Multas eleitorais,Passagem Aérea,Telefone,Encargos sociais,Reembolsos de gastos realizados por eleitores,Gasto_Candidato,Votos recebidos
584,ANA CRISTINA GONÇALVES DE ABREU SOUZA,9305.99,2800.0,90.35,0.0,38904.24,0.0,2868.42,0.0,0.0,0.0,560.0,52600.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,16506.0
585,GUIOMAR HOFFMAN,6000.0,60.0,30.0,0.0,0.0,0.0,23582.66,0.0,0.0,0.0,0.0,65700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,8920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109692.66,1556.0
586,JOSE AMERICO ASCENCIO DIAS,39147.16,7500.0,235.0,0.0,0.0,0.0,0.0,0.0,183.2,0.0,0.0,52350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,417.81,218.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109051.62,69202.0
587,EDMILSON SOUZA SANTOS,33000.0,3500.0,342.7,0.0,26502.0,7.52,3567.42,99.0,351.14,0.0,0.0,26126.34,0.0,1655.0,540.0,0.0,0.0,0.0,2992.74,0.0,0.0,8000.0,91.48,0.0,1893.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108668.66,23788.0
588,GUSTAVO MARTINELLI,8567.0,2000.0,157.4,0.0,52443.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,1524.6,6940.0,500.0,14265.0,0.0,479.0,0.0,8000.0,0.0,0.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108376.24,41414.0
589,ALINE NASCIMENTO BARROZO TORRES,81927.32,8520.0,1273.35,0.0,11541.63,0.0,500.0,0.0,153.1,0.0,0.0,0.0,0.0,1500.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107960.00000000004,11502.0
590,JOSÉ PAGLIARINI FILHO,5000.0,0.0,199.95,0.0,16240.0,0.0,0.0,0.0,0.0,0.0,0.0,75500.0,0.0,5000.0,5500.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107440.13,5136.0
591,CARLOS ANTONIO FERREIRA DOS SANTOS,0.0,8620.0,56.28,0.0,13000.0,0.0,680.0,0.0,0.0,0.0,0.0,76614.97,0.0,600.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107371.25,2673.0
592,JOSÉ LEVY FIDELIX DA CRUZ,1000.0,20000.0,71.4,0.0,5696.0,0.0,9822.35,0.0,0.0,0.0,0.0,54490.0,0.0,1984.0,0.0,2000.0,0.0,0.0,800.0,0.0,0.0,2000.0,0.0,4420.0,0.0,3968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106251.75,28416.0
593,CAROLINE GOMES FERREIRA,19530.0,30000.0,26.75,0.0,8750.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,35430.0,1170.0,2180.0,650.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,660.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105296.75,9740.0
